queuedTaskID,sb_id,processName,failedStep,errorCode,dateCreated,retryCount,dateLastRetry,recordProcessed,dateProcessed,description
5,622158,CreateProfileAndFPS,StoreProfile,3045,19:40.8,0,NULL,YES,11:14.7,NULL
8,1144101,createProfileWithoutFPS,StoreProfile,GIBU,35:38.7,1,00:19.1,YES,00:52.7,NULL
12,622113,createProfileWithExistingFPS,UpdateDigitalIDInProfile,dup3,30:20.3,5,10:31.5,YES,10:31.5,NULL
13,622120,createProfileWithoutFPS,StoreProfile,-7,53:18.5,0,NULL,YES,00:53.5,NULL
14,622121,createProfileWithoutFPS,StoreProfile,-7,11:40.4,0,NULL,YES,00:55.3,NULL
16,622123,createProfileWithoutFPS,StoreProfile,-7,23:51.5,0,NULL,YES,00:56.1,NULL
17,622124,createProfileWithoutFPS,StoreProfile,-4,41:24.8,0,NULL,YES,00:56.8,NULL
18,622126,createProfileWithExistingFPS,UpdateDigitalIDInProfile,CU02,29:35.1,4,23:06.0,YES,23:06.0,NULL
19,5435,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
20,7499,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
21,7632,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
22,11511,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
23,19155,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
24,21112,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
25,21542,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
26,22201,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
27,24175,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
28,29616,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
36,43258,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
37,47359,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
38,50602,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
39,50692,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
40,57042,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
41,60354,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
42,60967,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
43,62987,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
44,63106,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
45,63192,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
46,63544,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
47,65516,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
48,65841,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
49,67937,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
50,67945,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
51,68043,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
52,68303,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
53,68772,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
54,69418,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
55,70768,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
56,71678,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
57,71835,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
58,72482,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
59,73471,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
60,74735,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
61,74944,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
62,75387,CLEAN-UP,,,32:52.5,0,NULL,no,NULL,NULL
